Ebalia,P.za Ebalia,05,11;
Consiglio,Via Consiglio Park,16,12;
Dante,P.zle Bestat 5,11,13;
d'Aquino,Via d'Aquino 9,11,14;
Liguria,Via Liguria 46,10,15;
Aristosseno,Via aristosseno 35,10,16;
Peripato,Via Viola,09,17;
Duomo,Via Duomo 140,10,18;
Martilotti,Via Orsini 122,10,19;
T.Centrale,P.za della Libertà,09,20;
DeGasperi,Via de Gasperi 1,10,21;
Cannata,Via Cannata,09,22;
L.Como,Via L.di Como 67,12,23;
L.Lugano,Via L.di Lugano 13,10,24;
Litoranea,Viale dei Mioperi Pulsano,13,25;
DiGrassi,P.za Restist. Conversano,08,26;
Schiavo,Via Petrarca 39 Crispiano,10,27;

